sale_order_tm,sale_order_id,customer_id,product_id,product_name,qty,delv_prov_id,order_source
2022-03-15 08:00:13,NE-109890,6751544,TEC-PH-10004094,Laptop Murah Lenovo 320 AMD A4-9120 4GB 500GB Vga Amd Windows 10 Original Garansi Resmi,3,A005,Windows Phone
2022-05-10 16:36:04,TX-149790,6941321,OFF-AR-10003752,ASUS Notebook E203MAH-FD013T [90NB0J13-M00110] - Petal Pink,1,A019,Android
2022-02-20 04:27:58,NY-109015,3898454,OFF-BI-10000778,"Asus VivoBook X441UA-GA312T Notebook - Core i3-7020U - 4GB - 1TB - DVD RW - 14""HD - Win10 Home - Silver - ESEL",3,A043,Android
2022-10-08 23:03:29,CA-106964,4576902,OFF-AR-10003183,Asus A407UF-BV512T Intel® Core™ i5-8250U - RAM 4GB - 1TB - 14 - W10 - ICICLE GOLD- Laptop Murah (Gratis Tas) - Bergaransi,1,A031,Android
2023-02-03 12:38:56,MS-146570,5900331,OFF-BI-10001072,Asus X441BA-GA412T AMD A4 - 4G - 500GB - W10 home - 14.0'' - Silver Gradient - Student laptop,1,A036,Android
2022-08-30 23:59:43,OR-164469,3898454,OFF-BI-10001658,Asus X540L-AXX1015D BLACK RAM4GB CORE I3 HARDISK 500GB LAYAR 15 INC DAN BONUS TAS LAPTOP ASUS (FREE ASURANSI),2,A015,Android
2022-10-26 11:45:21,PA-138317,6455479,TEC-PH-10004100,Laptop Murah Lenovo Ideapad 330-15IGM - Intel N4000 - RAM 4GB - HDD 500GB,2,A001,Android
2023-02-02 12:03:13,CA-103380,7776517,OFF-AR-10003158,"Asus A407UA-BV319T - Intel® Core™ i3-7020U - 4GB - 1TB - 14"" - W10 - Grey - Laptop Murah (Gratis Tas) - Bergaransi",3,A035,iOS
2021-03-10 18:26:15,AL-108616,7223558,TEC-PH-10004071,Laptop Murah Asus X540NA Processor Intel Celeron N3350 Ram 4GB Hdd 500GB Bonus Tas Layar 15.6Inch,1,A039,Android
2021-07-27 08:07:52,WA-135972,9334859,FUR-CH-10000309,Lenovo IP 130 - 15IKB - IntelCore I3-7020U - 4GB + 4GB (8GB) - 256 SSD - 15.6” - Black - Laptop Murah ( Gratis Tas ) - Bergaransi,2,A010,Android
2023-02-18 20:56:35,CA-122679,9554349,TEC-PH-10004188,LAPTOP SLIM TIPIS ASUS A507MA - N4000- 4GB- 1TB- WIN10- 156HD,1,A006,Android
2022-09-09 11:49:28,FL-160773,6743967,OFF-AR-10003856,"Asus ROG GL503GE-EN023T - Intel® Core™ i7-8750H - RAM 8GB -1TB SSHD - NVIDIA GeForce GTX 1050 Ti - 15.6"" + Windows 10 + Free Headphone+ Backpack",2,A032,iOS
2021-11-15 06:07:04,OH-117870,7052127,OFF-BI-10000014,ASUS VIVOBOOK A507UA - i3-7020U-4GB-1TB-WIN10-15.6HD-FINGERPRINT,2,A001,iOS
2021-05-15 15:08:26,OR-156986,6455479,TEC-PH-10004188,LAPTOP SLIM TIPIS ASUS A507MA - N4000- 4GB- 1TB- WIN10- 156HD,1,A037,Android
2021-01-03 06:41:38,CA-126452,6751544,TEC-PH-10002834,"Laptop 14"" Lenovo Ideapad 110-14IBR DOS Intel N3060 RAM 4GB HDD 500GB Hanya 3 Juta-An",3,A043,Android
2022-03-04 13:08:11,OH--154823,5613884,OFF-BI-10000050,"ASUS VivoBook E203MAH-FD011T Notebook - Intel N4000 - 2GB - 500GB - Win10 Home - 11.6"" HD - Star Grey - ESEL",3,A021,Android
2021-10-13 01:44:15,CA-150770,6751544,TEC-PH-10003963,"Laptop Lenovo Ideapad V130-15IGM Intel N4000 RAM 4GB HARDISK 500GB DVDRW Layar 15.6"" Inc DOS HITAM",3,A028,Android
2021-06-14 13:57:38,KY--119480,6219397,OFF-BI-10000756,"Asus VivoBook X441BA-GA434T - AMD A4-9125 - 4GB - 1TB - DVD RW - 14""HD - Win10 Home - Ice Blue - ESEL",1,A025,Windows Phone
2022-05-17 00:25:50,NY-109666,4689017,OFF-BI-10001031,Asus X407UB Laptop Grafis I Core i3-7020U I 4GB DDR4 I 1TB HDD + SLOT SSD M2 I NVIDIA GeForce MX110 2GB I 14.0 HD USLIM I WINDOWS 10 I NO ODD,3,A013,iOS
2022-04-02 01:18:36,IL-127341,7068056,TEC-PH-10003931,Laptop Lenovo Ideapad 310-14IKB Layar FHD 14 Inch Core i5 Kabylake Ram 4Gb HDD 1TB Nvidia 2GB WIndows 10 PROMO,2,A025,Android
2021-03-10 19:37:22,CA-121188,7322004,OFF-AR-10003560,Asus E203MAH-FD013T - Intel® Celeron® N4000 - RAM 2GB - 500GB - 11.6' - W10 - Petal Pink - Laptop Murah - Bergaransi,1,A033,Android
2021-12-16 22:41:53,CA-143336,2481270,TEC-PH-10004006,"Laptop Murah !! ASUS X441NA N3350 Ram 4GB - Windows 10 Ori - Hdd 500GB - LCD 14 "" - Garansi Resmi",3,A023,Android
2021-01-20 04:37:13,TN-134621,9342312,OFF-AR-10003759,ASUS Notebook UX331UAL-EG033T - Rose Gold,3,A036,Android
2021-10-25 06:21:18,FL-113845,3363082,OFF-BI-10000136,"ASUS VivoBook E203MAH-FD412T Notebook - Intel N4000 - 4GB - 500GB - Win 10 - 11.6"" - Pearl White - ESEL",1,A042,Android
2021-05-03 09:35:32,NV-102239,6743967,OFF-AR-10003217,"ASUS A456UQ FA CORE I7 7500 2,7GHZ RAM 8GB HDD 1TB LCD 14"" Nvidia Gt 940 2GB NO OS",1,A040,Android
2021-07-03 04:43:08,WA-107888,6646303,TEC-PH-10003356,Laptop Gaming Lenovo V130 Intel I5-7200U - RAM 4GB - VGA AMD 2GB DDR5 - HDD 1TB & SLOT SSD M2 - PROMO MURAH,1,A019,Android
2021-05-05 22:25:06,DE-103730,3806026,OFF-AR-10003903,Asus ROG GL552VX-DM044T - RAM 12GB - Core i7 7700HQ - Nvidia Geforce GTX 950M (4GB DDR5) - 15.6 Inch FHD - WINDOWS 10 - Hitam,2,A014,iOS
2022-06-10 12:38:13,NC-145499,6743967,TEC-PH-10003215,"LAPTOP GAMING ASUS ROG G501JW i7-4720HQ ULTRASLIM DDR3 8GB, 1TB Hardisk, Intel Core i7,VGA nVidia GTX960-2GB",2,A027,Android
2021-03-19 16:28:06,TX-116365,5613884,OFF-AR-10003183,Asus A407UF-BV512T Intel® Core™ i5-8250U - RAM 4GB - 1TB - 14 - W10 - ICICLE GOLD- Laptop Murah (Gratis Tas) - Bergaransi,2,A047,Android
2022-12-05 10:48:26,MI-127026,7776517,OFF-BI-10001634,Asus X454YA-EX101T Notebook - Black [14-AMD E1-7010/2GB/500GB/R2/Win 10],3,A010,Android
2022-08-15 13:32:59,WA-133823,9724784,TEC-PH-10004071,Laptop Murah Asus X540NA Processor Intel Celeron N3350 Ram 4GB Hdd 500GB Bonus Tas Layar 15.6Inch,2,A031,Android
2022-10-18 12:17:40,CA-119011,6646303,OFF-AR-10004752,Asus Vivobook A407MA Intel N4000 Ram4Gb HDD1TB Fingerprint Windows 10 Original,1,A016,Android
2021-04-24 03:54:09,MA-129322,5453032,OFF-AR-10004582,"ASUS TUF Gaming FX505GD-I5501T - Core i5-8300H - 8GB - 1TB - NVidia GTX1050-4GB - 15.6"" FHD - Win10 Home - Red Fusion - ESEL",1,A036,Android
2022-12-14 05:58:44,IL-144064,9724784,TEC-PH-10003800,"Laptop Lenovo B50-30 Intel N2840 Ram 4GB Hdd 500GB Win8 15,6"" Black",2,A025,Android
2022-03-02 03:03:19,CA-128160,7052127,OFF-BI-10002897,Baru!!Lenovo Ideapad 310 14IKB Core I5 7200 Ram 4GB Hardisk 1TB NvidiaGforce 2GB Windows 10,1,A033,Android
2021-12-20 19:40:11,NM-166856,6455479,OFF-AR-10004078,"Asus TP412UA-EC302T - Intel corei3-8130U - 4GB- 256GB - 14"" - W10 - Silver Blue - Laptop Murah ( Gratis Tas)",2,A011,Android
2022-06-18 15:37:56,SC-128846,6219397,OFF-BI-10000216,Asus Vivobook K403FA - i5-8265U 8GB 512GB 14 Inch FHD WIN10 RESMI,1,A012,Web
2021-11-15 06:07:04,OH-117870,7052127,OFF-BI-10000666,"Asus VivoBook X441BA-GA432T - AMD A4-9125 - 4GB - 1TB - DVD RW - 14""HD - Win10 Home - Silver - ESEL",1,A001,iOS
2021-06-13 00:53:36,CA-100580,9554349,OFF-BI-10001308,"Asus X441MA-GA014T - Intel® Celeron® N4000 - RAM 4GB - 1Tb - 14"" - W10 - White- Laptop Murah (Gratis Tas) - Bergaransi",3,A003,iOS
2021-03-03 11:01:12,WA-169040,5157210,OFF-AR-10003986,Asus ROG Strix GL503VM-ED287T Scar Edition GTX1060 6GB + Windows 10+ Free Headphone + Backpack,2,A003,Windows Phone
2021-09-12 11:59:22,PA-133067,6455479,OFF-BI-10000591,"Asus VivoBook Ultra K403FA-EB501T - Intel i5 8265U - 8GB - 512GB SSD - Intel UHD 620 - Fingerprint - 14"" FHD - Win10 Home - Silver Blue - ESEL",3,A035,Android
2022-12-23 17:47:03,NM-131639,9521335,OFF-AR-10004757,"Asus VivoBook A407MA-BV002T Notebook - Icicle Gold - Intel N4000 - Fingerprint - 4GB - 1TB - 14""HD - Win10 - ESEL",2,A045,Android
2022-04-26 19:09:18,KS-152128,1017300,OFF-BI-10001294,"Asus X441MA-GA013T - Intel® Celeron® N4000- RAM 4GB - 1TB - 14"" - W10 - Red - Laptop Murah (Gratis Tas) - Bergaransi",1,A044,Windows Phone
2021-12-24 20:24:08,TX-132731,3898454,OFF-AR-10003903,Asus ROG GL552VX-DM044T - RAM 12GB - Core i7 7700HQ - Nvidia Geforce GTX 950M (4GB DDR5) - 15.6 Inch FHD - WINDOWS 10 - Hitam,3,A003,Android
2021-01-04 10:02:43,TX-140298,3043854,OFF-BI-10000315,"Asus VivoBook S14 S430FN - i5 8265U - 8GB - MX150 2GB - 512GB SSD - 14"" FHD - Win10 - ESEL",1,A006,Android
